id;nev;kan;fajta_id;fajta_nev;gazda_id;gazda_nev;gazda_tel;kor;chip_datum;kep_Url
51;Jyl;0;57;Basset hound;9;Rontó Pál;+36 1 5941-3954;10;2022.01.17;https://drive.google.com/file/d/1rNXGW2H7LG2RFcEOfIpyTP9_lFVV1NZ2
52;Kamino;0;62;Bedlington terrier;183;Korpusz Ilma;+36 1 6751-6005;2;2021.12.23;https://drive.google.com/file/d/1rqxx7t4OdVFJ5th8b23TWKW62NZzSc9f
53;Kávé;1;47;Ausztrál selyemszőrű terrier;238;Kolle Gina;+36 1 9907-6155;4;2021.10.31;https://drive.google.com/file/d/1she2wd47cp-DPolEjDksz4tkNwT0hova
54;Kenny;1;18;Amerikai vízispániel;40;Róka Gábor;+36 1 2729-9902;5;2021.12.29;https://drive.google.com/file/d/1r9JPKeAX6BQ7fF-0fHrNqsTrr8D9JPEw
55;Leon;1;39;Artésien Normand;124;Amor Ella;+36 1 6978-7676;9;2021.12.07;https://drive.google.com/file/d/1suSusCdzSM4qKinfhEYdAV0cUw64oefz
56;Letty;0;60;Bearded Collie;346;Vagd Alma;+36 1 7446-5220;9;2021.10.13;https://drive.google.com/file/d/1sufiVE60JmFdEsRQbE3pUeAM2pCM6aX5
57;Lexi;1;34;Arab agár;222;Tóth Zsuzsa;+36 1 3720-8653;6;2021.10.19;https://drive.google.com/file/d/1sVT8P2AqtfmroUv5Y0oRGPMKeUiCO3UO
58;Manitu;1;70;Biewer yorkshire terrier;374;Bac Ilus;+36 1 1301-2730;13;2021.10.11;https://drive.google.com/file/d/1qh0nIM1Gn0zrO6Wkmf7iYxcYKKKPZszZ
59;Marco Polo;1;55;Basset Artésien Normand;308;Egyenes Ági;+36 1 1780-7112;1;2021.12.12;https://drive.google.com/file/d/1rYClD3Gx9y3YUkdh0rPEcRhYzku7C8Da
60;Móric;1;10;Amerikai akita;144;Lev Elek;+36 1 2451-9808;3;2021.12.12;https://drive.google.com/file/d/1qc74gm94OAzCf8SlGit-B157YL8sKEH0
61;Mozart;1;51;Azori-szigeteki kutya;317;Török Szilárd;+36 1 3603-9947;5;2021.11.27;https://drive.google.com/file/d/1qv3b7t3yLkV9HF5TzbyY_-MKaft83bAB
62;Naga;0;63;Belga griffon;103;Szolnoki Anna;+36 1 4163-7869;12;2022.02.25;https://drive.google.com/file/d/1rxOCx-iRm2I92A1KranthDq86tdM4MQi
63;Napóleon;1;2;Afgán agár;178;Mursa Krisztián;+36 1 4450-7684;3;2021.11.01;https://drive.google.com/file/d/1rEbvjvUN8QwZ0hAzVvewt8gS1DdIsSWY
64;Nessi;0;1;Abruzzói juhászkutya;313;Ádám Ákos Lajos;+36 1 9163-7120;8;2021.11.14;https://drive.google.com/file/d/1qujuTrxsUNZ7z0Y9fobfUhgHGCwyggo8
65;Netty;0;22;Angol bulldog;320;Potornai Judit Adrienn;+36 1 2827-9828;2;2021.11.16;https://drive.google.com/file/d/1sDgl74Aj76rzTPwLuLL3OGVwcjZy9XX-
66;Pimasz;1;68;Berni pásztorkutya;14;Nagy Adrienn;+36 1 9912-8987;11;2022.01.04;https://drive.google.com/file/d/1qro_stZpSbux9oLeFT6xh8qF5m0cPmSS
67;Plüsi;0;61;Beauce-i juhászkutya;54;Hegedűs Adrienn;+36 1 6078-6520;4;2022.01.10;https://drive.google.com/file/d/1rfIBFPxBf_TgWERMh-OqVmpFnDxpo6rn
68;Rico;1;40;Artois-i basset;236;Mod Emma;+36 1 1239-2839;1;2021.10.01;https://drive.google.com/file/d/1sBPbyW84_qCKwHoVf313Bl-LENLnr3J-
69;Ricsi;1;4;Airedale terrier;231;Pataki Bálint;+36 1 9998-4893;14;2022.02.11;https://drive.google.com/file/d/1q_gGeRN1CifVp1wQ_QWksnn5BAKbVOSn
70;Scooby;1;43;Ausztrál csonkafarkú pásztorkutya;271;Huczman Gergely;+36 1 2819-2249;9;2022.01.29;https://drive.google.com/file/d/1rxOCx-iRm2I92A1KranthDq86tdM4MQi
